track,artist
Billy the Kid Suite: IV. Prairie Night. Card Game at Night,Aaron Copland
Oceanic Beloved,Alice Coltrane
More,Vic Dana
I Don't Want To Cry,Chuck Jackson
The James Bond Theme,Billy Strange
Sombras de la China,Joan Manuel Serrat
Her Royal Majesty,James Darren
Desesperadamente,Eydie Gormé
Subterranean Homesick Blues,Bob Dylan
Never Comes The Day,The Moody Blues
Little Boxes,Pete Seeger
The Face of the Bass,Ornette Coleman
Prelude (Reprise),Elmer Bernstein
Ao Entardecer (Deep Purple),Leño
Sorry Suzanne,The Hollies
Trampin',Traditional
Vinthoothar,Jolly Abraham
"Mercy, Mercy, Mercy",Cannonball Adderley
O Velho Homem do Mar - Versão remasterizada,Roberto Carlos
Stand By Your Man,Tammy Wynette
Underwater,The Frogmen
"In Epiphania Domini. Graduale: Omnes de Saba, V Mode",Traditional
Snap Your Fingers,Barbara Lewis
Walk Away Renee,The Left Banke
Badge,Cream
Do You Mind?,Anthony Newley
Winter Song,Nico
Driving Wheel,Junior Parker
"Madama Butterfly, Act II: Un bel dì vedremo (Butterfly)",Giacomo Puccini
Make Me Forget,Bobby Rydell
It's All Right (You're Just In Love),The Tams
They Ballin' Me Name,King Fighter
Boss-Eyed Whelk,Johnny Pearson
Leopard-Skin Pill-Box Hat,Bob Dylan
Bally Mena,Harry Belafonte
The Tracks Of My Tears,Johnny Rivers
Right Or Wrong,Ronnie Dove
I Apologize,Timi Yuro
You Better Get It,Joe Tex
"Mercy, Mercy, Mercy",Marlena Shaw
Sweetest One,The Metros
Vereda Tropical,Eydie Gormé
Sobre Las Olas,Vicente Fernández
Little Green Apples,O.C. Smith
Lucille,The Everly Brothers
Confession au clair de lune,Georges Delerue
Dirty Man,Laura Lee
Qué Saco Rogar al Cielo,Victor Jara
Somewhere,Len Barry
O Sol Se Põe no Horizonte ( I'll be On My Way),Leno e Lilian
Party In The Ward from The Caretakers,Elmer Bernstein
Hurdy Gurdy Man,Donovan
I Wanna Be Around,Tony Bennett
Come Go With Me,Dion
"La recherche, pt. 2",Vladimir Cosma
La fille du régiment / Act 1: Le camarade est amoureux!,Gaetano Donizetti
"Zamba del ""Che""",Victor Jara
